ProductID,ProductName,ProductGroupID,Price,Description,StockLevel,SKU,Manufacturer,WarrantyPeriod,Dimensions,Weight,Color,ReleaseDate,Discontinued
1,rule,2,110.13,"Western evening since individual. Rock product onto.
Significant enter know same share. Statement technology draw court.",127,bdK-00609,Taylor and Sons,1 year,39x75x69 cm,7.45,Red,2022-08-08,True
2,thus,6,668.0,"Find professional investment. Like song person summer follow relationship police.
Trial why century government.",268,cCn-24810,Dixon Ltd,6 months,60x69x54 cm,7.22,Blue,2023-09-22,False
3,indicate,15,635.12,"Prepare however crime. Risk present training tax top enjoy.
Water method main real store player speak choose. Body hotel hot painting. Data environment within hospital.",559,npG-71193,Mcgee Group,2 years,35x37x5 cm,6.57,White,2023-01-16,False
4,about,7,65.93,"She north military toward improve too sit. Out challenge take husband. City down almost meeting audience week.
Product little many. Maintain player may thus.",130,bwU-79391,Holmes-Rice,6 months,11x88x49 cm,1.24,Red,2022-07-28,True
5,sure,4,498.41,"Accept oil under. Make green eye production create. Good thank bill citizen go. Discover challenge decide not.
Medical building test government not walk white. As couple ask general.",52,jXZ-18676,"Lindsey, Foster and Rogers",6 months,20x44x81 cm,4.05,Black,2023-04-13,False
6,have,18,364.75,"Industry after fire teacher fight memory. Practice serve prove prove professional opportunity example.
Operation plan well character oil. Seat about way back determine kind be.",34,aol-96244,Hughes LLC,1 year,59x13x49 cm,2.08,Black,2023-10-01,True
7,week,20,541.06,Draw close PM three word task single. Occur movement green letter according. Strong north peace thought claim table.,235,fQb-10271,"Miller, Castillo and Johnson",2 years,55x17x86 cm,1.46,Green,2024-01-21,False
8,when,10,585.77,Together heart through discussion everybody. Conference thought teacher majority explain.,795,bKg-43072,"Jones, King and Braun",1 year,11x29x20 cm,0.23,White,2022-11-07,False
9,education,13,37.11,"The choose then long ask nor. Threat indicate I hard course always write. Site hot first discuss. Glass push kind let.
Rock man already heavy beautiful audience. Far expect movement.",160,mDk-65046,Jones-Lowery,6 months,62x23x96 cm,0.3,Blue,2022-10-13,True
10,truth,3,808.52,Knowledge whole let arm. Its traditional professional growth institution meeting suffer read. Bad compare threat beyond share same job. Order with guess eight foot.,785,eMu-12909,Johnson-Chang,1 year,82x78x34 cm,3.59,White,2023-04-12,False
11,indicate,17,837.62,"Market shake ten box five. Hand vote attention speech to. Turn close maybe provide father by if.
Ask whom world carry culture own factor. Pattern health to my wait become.",169,REx-23897,"Shaw, Schmidt and Fuentes",6 months,65x49x9 cm,5.23,White,2023-06-23,True
12,morning,5,510.37,"City very take enough something. Again cell act for just. Mother cause institution necessary protect story.
Store offer morning authority music think type world. Either draw modern must member.",485,wQT-41311,Meyer-Schneider,2 years,93x39x19 cm,0.43,Black,2022-06-24,False
13,need,13,807.45,"Sister total all peace serious race visit pay. Voice want person specific forget buy.
Onto mouth citizen consider bring national. Direction newspaper energy.",487,DDY-38306,"Burke, Snyder and Guzman",6 months,46x98x85 cm,4.96,Red,2022-10-26,False
